question_id,question_text,literature_area,source_key,coverage_role,geography,sample_period,event_definition,signals_or_variables,spatial_measure,method,author_reported_finding,author_reported_limitation,page_or_section,doi_or_url,metadata_status
"Q22","Which atmospheric variables accompany extreme rainfall and flash-flood occurrence?","extreme precipitation","MeyerEtAl2022","direct_empirical","Central western Europe","1981–2020; event sample 2001–2020","Extreme precipitation and documented flash-flood events","Humidity, CAPE, wind and 24-hour upper-soil moisture","Regional event composites","Atmospheric and land-surface composite analysis","High moisture, instability, relative humidity and weak winds often accompanied extremes; no single pathway characterized all flash floods.","ERA5 is coarse for convection and the flash-flood database is incomplete.","Figs. 4–6; discussion","10.5194/hess-26-6163-2022","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","spatial dependence","KeefEtAl2009","methodological","Great Britain","Gauge and precipitation records reported in article","Conditional occurrence of an extreme at one site given an extreme at another","Extreme river flow and precipitation","Pairwise conditional dependence","Conditional spatial-extremes analysis","The conditional measure quantified joint extreme occurrence and allowed flow dependence to be compared with rainfall dependence.","Sparse joint extremes increase uncertainty at high return levels and long distances.","Conditional-dependence definition and results","10.1016/j.jhydrol.2009.09.026","verified_publisher_and_crossref"
"Q13","How is the dependence between high flows related to distance?","spatial dependence","KeefEtAl2009","direct_empirical","Great Britain","Gauge and precipitation records reported in article","Pairwise high-flow and precipitation extremes","Extreme flow, extreme precipitation and station separation","Distance-response relationship","Conditional spatial-extremes regression","Dependence generally weakened with distance, and rarer river-flow extremes could be more localized.","Pairwise estimates are uncertain for rare co-occurrence and do not give a universal decay curve.","Distance-response figures and discussion","10.1016/j.jhydrol.2009.09.026","verified_publisher_and_crossref"
"Q14","How do storm, catchment and land-surface properties affect flood spatial extent?","spatial dependence","KeefEtAl2009","direct_empirical","Great Britain","Gauge and precipitation records reported in article","Pairwise extremes","Catchment similarity and precipitation dependence","Pairwise catchment differences","Conditional dependence with catchment covariates","Catchment diversity reduced river-flow dependence relative to precipitation dependence.","Available catchment descriptors cannot capture all hydrological differences.","Catchment-comparison results","10.1016/j.jhydrol.2009.09.026","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","trans-basin events","UhlemannEtAl2010","direct_empirical","Germany","1952–2002","Temporally coincident normalized high flows across a national gauge network","Daily discharge and normalized local magnitude","Share and arrangement of affected gauges","Cross-gauge event catalogue construction","The catalogue identified 80 trans-basin floods, including 32 affecting more than one-third of the network.","Daily data and changing station availability influence measured synchrony.","§§2.2–2.4; event catalogue","10.5194/hess-14-1277-2010","verified_publisher_and_crossref"
"Q15","How are regional flood events and their spatial footprints constructed?","trans-basin events","UhlemannEtAl2010","methodological","Germany","1952–2002","Contemporaneous normalized high-flow episodes","Daily discharge rank and timing","Network share and spatial arrangement","Temporal grouping and joint magnitude-extent ranking","Regional events were ranked using both local magnitude and network coverage.","Threshold and network density affect the apparent footprint.","Event definition and ranking tables","10.5194/hess-14-1277-2010","verified_publisher_and_crossref"
"Q18","How can episodes at different gauges be grouped into regional storms?","trans-basin events","UhlemannEtAl2010","methodological","Germany","1952–2002","Daily high-flow episodes grouped by temporal coincidence","Normalized daily discharge","Cross-basin gauge network","Rule-based event grouping","The study grouped local gauge episodes into one trans-basin flood when their timing belonged to the same broad event.","Daily timing can merge distinct systems or blur fast events.","§2 event-construction procedure","10.5194/hess-14-1277-2010","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","European synchrony","BerghuijsEtAl2019","direct_empirical","Europe","1960–2010","Coincidence of annual flood dates","Annual maximum date","Pairwise synchrony scale across more than 4,000 gauges","Pairwise timing analysis","Synchronous flood scales frequently extended beyond individual river basins and varied across Europe.","Annual maxima omit secondary high-flow events and their magnitudes.","Network and synchrony definitions; maps","10.1029/2018GL081883","verified_publisher_and_crossref"
"Q13","How is the dependence between high flows related to distance?","European synchrony","BerghuijsEtAl2019","direct_empirical","Europe","1960–2010","Coincident annual flood dates","Event timing and interstation distance","Distance scale of synchrony","Pairwise synchrony-distance estimation","The reported average spatial scale of synchronous flooding increased by about 50% over the study period, with regional variation.","Synchrony of dates is not physical propagation or gauge substitutability.","Temporal-trend analysis and discussion","10.1029/2018GL081883","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","spatial flood modelling","BrunnerEtAl2019","methodological","Nested Thur catchments, Switzerland","Study gauge period reported in article","Local POT events combined into 63 regional events","Peak flows and event timing","Dependence among ten nested gauges","Fisher-copula modelling","The copula represented differing dependence strengths within one nested network.","Only 63 regional events made tail-dependence estimates uncertain.","§§2–4","10.5194/hess-23-107-2019","verified_publisher_and_crossref"
"Q13","How is the dependence between high flows related to distance?","spatial flood modelling","BrunnerEtAl2019","direct_empirical","Nested Thur catchments, Switzerland","Study gauge period reported in article","Regional POT floods","Peak flow, Euclidean distance and river distance","Pairwise distance effects","Fisher copula with spatial covariates","Dependence decreased with separation, and river distance described the nested system better than Euclidean distance.","Distance results depend on the nested network and small event sample.","Distance comparison and discussion","10.5194/hess-23-107-2019","verified_publisher_and_crossref"
"Q18","How can episodes at different gauges be grouped into regional storms?","spatial flood modelling","BrunnerEtAl2019","methodological","Nested Thur catchments, Switzerland","Study gauge period reported in article","Threshold events matched across gauges into 63 regional episodes","Peak timing and recession-separated local events","Ten-gauge regional episodes","Local-to-regional event matching","The regional sample differed from independent local series and retained 63 multi-gauge events.","Event matching and threshold choice affect which peaks belong together.","§§2.2–2.4","10.5194/hess-23-107-2019","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","flood footprints","QuinnEtAl2019","direct_empirical","Conterminous United States","Gauge record reported in article","More than 63,000 temporally grouped events","Normalized flow severity across about 2,400 gauges","Event footprint area, geometry and internal severity","National event-footprint analysis","Flood events differed substantially in footprint size, shape and internal severity.","Gauge density is uneven and flow exceedance is not inundated area.","Event construction; national footprint maps","10.1029/2018WR024205","verified_publisher_and_crossref"
"Q13","How is the dependence between high flows related to distance?","flood footprints","QuinnEtAl2019","direct_empirical","Conterminous United States","Gauge record reported in article","Temporally grouped gauge events","Normalized discharge, distance and physiography","Pairwise distance and event footprint","Dependence and footprint analysis","Dependence declined with distance, but decay differed by region and catchment setting.","National relationships do not supply a donor radius for a small European basin.","Distance results and discussion","10.1029/2018WR024205","verified_publisher_and_crossref"
"Q15","How are regional flood events and their spatial footprints constructed?","flood footprints","QuinnEtAl2019","methodological","Conterminous United States","Gauge record reported in article","Gauge episodes grouped by temporal coincidence","Normalized flow severity and timing","Network event footprint","Temporal grouping and spatial mapping","The method mapped the area, geometry and severity structure of each network event.","Grouping can join distinct generating systems or split long storms.","Event-construction methods","10.1029/2018WR024205","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","process controls on dependence","BrunnerEtAl2020","direct_empirical","Contiguous United States","Study gauge period reported in article","Concurrent flood occurrence at gauge pairs","Flood occurrence and process indicators","Pairwise dependence across regions and seasons","Dependence estimation with process attribution","Flood dependence varied by region and season and was often stronger in winter and spring.","Thresholds, gauge records and large-scale process data contribute uncertainty.","Event and dependence definitions; regional results","10.1029/2020GL088000","verified_publisher_and_crossref"
"Q13","How is the dependence between high flows related to distance?","process controls on dependence","BrunnerEtAl2020","direct_empirical","Contiguous United States","Study gauge period reported in article","Concurrent flood occurrence at gauge pairs","Flood occurrence and distance","Regional and seasonal distance-decay curves","Spatial-dependence modelling","Dependence declined with distance, but its level and decay varied among regions and seasons.","Aggregated regions contain heterogeneous catchments.","Distance-result figures","10.1029/2020GL088000","verified_publisher_and_crossref"
"Q14","How do storm, catchment and land-surface properties affect flood spatial extent?","process controls on dependence","BrunnerEtAl2020","direct_empirical","Contiguous United States","Study gauge period reported in article","Concurrent flood occurrence","Precipitation, soil moisture and snow-related indicators","Pairwise and regional","Process attribution of spatial dependence","Land-surface conditions helped explain joint flooding beyond precipitation fields alone.","Associations do not prove causal process effects and use large-scale products.","Meteorological and land-surface attribution results","10.1029/2020GL088000","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","European flood extent","KemterEtAl2020","direct_empirical","Europe","Long gauge records reported in article","Temporal co-occurrence of annual floods","Annual flood magnitude and timing","Spatial extent across the gauge network","Joint trend analysis","The study measured magnitude and spatial extent jointly and found differing regional patterns.","Gauge coverage and annual-maxima sampling affect the mapped trends.","Data and event-coincidence methods","10.1029/2020GL087464","verified_publisher_and_crossref"
"Q15","How are regional flood events and their spatial footprints constructed?","European flood extent","KemterEtAl2020","direct_empirical","Europe","Long gauge records reported in article","Co-occurring annual floods","Local flood magnitude and event coverage","Continental event extent","Cross-gauge event construction and trend estimation","Some European regions showed joint increases in flood magnitude and spatial extent while others did not.","Spatial co-occurrence is not physical propagation and secondary events are omitted.","European trend maps and discussion","10.1029/2020GL087464","verified_publisher_and_crossref"
"Q12","How is spatial synchrony of high flows defined and measured?","multivariate extremes","Brunner2023","methodological","International review","Literature through 2023","Multidimensional hydrological extremes","Severity, duration, timing, spatial extent and dependence","Multiple spatial-event definitions","Structured review","The review catalogues ways to represent spatially compounding events and multivariate dependence.","Definitions and appropriate models are context dependent.","§§2–5","10.5194/hess-27-2479-2023","verified_publisher_and_crossref"
"Q15","How are regional flood events and their spatial footprints constructed?","multivariate extremes","Brunner2023","methodological","International review","Literature through 2023","Events with multiple dimensions or affected sites","Magnitude, extent, duration, timing and impacts","Network, areal and impact footprints","Structured review","Event construction should align the retained dimensions with the scientific question and impact context.","Different constructions yield different samples and no universal definition is recommended.","Sections on spatially compounding extremes","10.5194/hess-27-2479-2023","verified_publisher_and_crossref"
"Q19","How sensitive are event samples and estimates to thresholds and measurement uncertainty?","multivariate extremes","Brunner2023","methodological","International review","Literature through 2023","Multivariate hydrological extremes","Marginal thresholds and dependence dimensions","Multiple event definitions","Structured review","Adding dimensions increases data requirements and uncertainty in dependence estimation.","High-dimensional extremes are difficult to estimate from short records.","Method and research-needs sections","10.5194/hess-27-2479-2023","verified_publisher_and_crossref"
"Q16","What is gained and assumed when using peaks over threshold rather than annual maxima?","threshold events","LangEtAl1999","methodological","Methodological review","Literature through 1999","Partial-duration series above a high threshold","Threshold, exceedance count and tail distribution","Within-site event series","Review of POT construction and fitting","POT samples can retain more high-flow information than one annual maximum when threshold and independence assumptions are defensible.","No threshold or average event count is best for every catchment.","POT review and concluding guidelines","10.1016/S0022-1694(99)00167-5","verified_publisher_and_crossref"
"Q17","How can threshold exceedances be declustered into approximately independent episodes?","threshold events","LangEtAl1999","methodological","Methodological review","Literature through 1999","Clusters of threshold exceedances","Time separation, hydrograph recession and threshold","Within-site event series","Review of independence criteria","Threshold choice and independence rules must be considered jointly when constructing a partial-duration series.","Event counts and estimates can change with the chosen independence rule.","Sections on independence and threshold selection","10.1016/S0022-1694(99)00167-5","verified_publisher_and_crossref"
"Q19","How sensitive are event samples and estimates to thresholds and measurement uncertainty?","threshold events","LangEtAl1999","methodological","Methodological review","Literature through 1999","Over-threshold samples","Threshold, stationarity and distribution choice","Within-site event series","Methodological review and diagnostics","The paper recommends diagnostics and sensitivity assessment rather than one automatic sampling rule.","Short records, seasonality and nonstationarity limit stable choices.","Concluding guidelines","10.1016/S0022-1694(99)00167-5","verified_publisher_and_crossref"
"Q17","How can threshold exceedances be declustered into approximately independent episodes?","extreme clustering","FerroSegers2003","methodological","Stationary time-series method","Simulation and worked examples","Clusters of high-threshold exceedances","Inter-exceedance times and extremal index","Within-series temporal dependence","Intervals estimator and automatic declustering","Short inter-exceedance times identify within-cluster observations and longer intervals separate clusters.","The method assumes stationarity and a sufficiently high threshold; finite samples can be ambiguous.","§§2–4","10.1111/1467-9868.00401","verified_publisher_and_crossref"
"Q19","How sensitive are event samples and estimates to thresholds and measurement uncertainty?","extreme clustering","FerroSegers2003","methodological","Stationary time-series method","Simulation and worked examples","High-threshold clusters","Threshold, inter-exceedance times and extremal index","Within-series temporal dependence","Intervals estimator with bootstrap","Intervals estimation supports uncertainty assessment and data-based declustering.","Results remain sensitive to threshold and the underlying dependence structure.","Estimator, simulation and bootstrap sections","10.1111/1467-9868.00401","verified_publisher_and_crossref"
"Q16","What is gained and assumed when using peaks over threshold rather than annual maxima?","extreme-value methods","Coles2001","methodological","General statistical reference","Examples compiled through 2001","Block maxima and threshold exceedances","Extreme-value tail observations","Univariate and multivariate examples","Likelihood-based extreme-value modelling","Threshold approaches use multiple extremes per block but require a defensible high-threshold approximation.","Thresholds that are too high leave little data; lower thresholds can violate the limiting model.","Chapters 3–5","10.1007/978-1-4471-3675-0","verified_publisher_and_crossref"
"Q19","How sensitive are event samples and estimates to thresholds and measurement uncertainty?","extreme-value methods","Coles2001","methodological","General statistical reference","Examples compiled through 2001","Rare-event samples","Threshold, model form, stationarity and dependence","Univariate and multivariate examples","Extreme-value inference and diagnostics","Tail estimates require diagnostics and uncertainty intervals because inference extrapolates beyond scarce observations.","Model choice, nonstationarity and dependence cannot be resolved automatically.","Chapters on inference, diagnostics and dependence","10.1007/978-1-4471-3675-0","verified_publisher_and_crossref"
"Q20","What are the relevant characteristics and limitations of RADOLAN/RADKLIM rainfall products?","radar rainfall data","BartelsEtAl2004","data_or_measurement","Germany","RADOLAN development through 2004","Operational radar precipitation fields","Radar reflectivity, gauges, quality flags and missing codes","National 1 km grid","Radar composite and gauge adjustment","RADOLAN combines radar spatial coverage with automated-gauge adjustment in hourly RW totals.","Blockage, clutter, attenuation, bright band, calibration and gauge availability can affect estimates.","Product overview; adjustment and format chapters","https://www.dwd.de/DE/leistungen/radolan/radolan_info/abschlussbericht_pdf.pdf?__blob=publicationFile&v=2","verified_official_record"
"Q20","What are the relevant characteristics and limitations of RADOLAN/RADKLIM rainfall products?","radar rainfall data","WinterrathEtAl2018","data_or_measurement","Germany","Original version 2001–2017 with later annual extensions listed by DWD","Hourly gauge-adjusted precipitation totals","RADKLIM RW rainfall and quality/missing information","National 1 km × 1 km polar-stereographic grid","Reprocessed RADOLAN climatology","Version 2017.002 adds artefact corrections and provides hourly gridded, gauge-adjusted precipitation for spatial aggregation.","The landing page records corrected missing/corrupt files and warns that 2021 NetCDF files require supplement replacements.","Official DOI landing page and supplement warning","10.5676/DWD/RADKLIM_RW_V2017.002","verified_official_record"
"Q07","What measurement and reconstruction uncertainties affect the July 2021 record?","hydrological observation uncertainty","McMillanEtAl2012","data_or_measurement","International review","Literature through 2012","Observed rainfall and discharge across ordinary and extreme conditions","Instrument, transformation, interpolation and extrapolation errors","Point, catchment and gauge scales","Uncertainty benchmarking review","Hydrological errors vary with instrument and condition and can exceed tens of percent in difficult or extreme settings.","Published uncertainty evidence is uneven and cannot replace station-specific assessment.","Rainfall and discharge benchmark tables","10.1002/hyp.9384","verified_publisher_and_crossref"
"Q20","What are the relevant characteristics and limitations of RADOLAN/RADKLIM rainfall products?","hydrological observation uncertainty","McMillanEtAl2012","data_or_measurement","International review","Literature through 2012","Observed precipitation","Point measurement, spatial representativeness and interpolation","Point-to-catchment support","Uncertainty benchmarking review","Rainfall uncertainty changes with instrument, intensity and spatial aggregation.","Generic benchmarks do not quantify a specific radar product or storm.","Rainfall uncertainty sections","10.1002/hyp.9384","verified_publisher_and_crossref"
"Q21","How do rating curves, gauge failure and censoring affect high-flow observations?","hydrological observation uncertainty","McMillanEtAl2012","data_or_measurement","International review","Literature through 2012","Stage-derived river discharge","Stage error, rating curve, channel control and extrapolation","Individual gauges","Uncertainty benchmarking review","Discharge uncertainty combines stage measurement with rating-curve and cross-section uncertainty and is often flow dependent.","Published ranges do not determine the status of a particular damaged gauge.","Discharge benchmark and rating-curve sections","10.1002/hyp.9384","verified_publisher_and_crossref"
"Q07","What measurement and reconstruction uncertainties affect the July 2021 record?","discharge uncertainty","CoxonEtAl2015","data_or_measurement","England and Wales","Station records available for study","Uncertainty around stage-derived discharge","Gaugings, ratings and station descriptors","500 gauging stations","Nonparametric LOWESS uncertainty framework","Discharge uncertainty varied strongly among stations and through the flow range.","Where rating evidence is poor, uncertainty intervals are themselves uncertain.","§§2–3; network maps","10.1002/2014WR016532","verified_publisher_and_crossref"
"Q21","How do rating curves, gauge failure and censoring affect high-flow observations?","discharge uncertainty","CoxonEtAl2015","data_or_measurement","England and Wales","Station records available for study","Low-, medium- and high-flow discharge","Rating extension and gauging evidence","500 gauging stations","LOWESS-based rating uncertainty","High-flow uncertainty increased where ratings extended beyond measured gaugings or channel controls changed.","The method cannot recover information absent from station records or reconstruct a stopped gauge exactly.","High-flow examples and discussion","10.1002/2014WR016532","verified_publisher_and_crossref"
"Q07","What measurement and reconstruction uncertainties affect the July 2021 record?","discharge uncertainty","KiangEtAl2018","data_or_measurement","Three comparative gauging stations","Station records used in intercomparison","Uncertainty around rating-derived streamflow","Stage, discharge gaugings, rating form and temporal change","Three stations","Seven-method intercomparison","Estimated uncertainty differed materially among methods because assumptions and data use differed.","Three stations cannot represent every rating control and true continuous discharge is unknown.","Method-comparison design and results","10.1029/2018WR022708","verified_publisher_and_crossref"
"Q21","How do rating curves, gauge failure and censoring affect high-flow observations?","discharge uncertainty","KiangEtAl2018","data_or_measurement","Three comparative gauging stations","Station records used in intercomparison","High-flow rating extrapolation","Stage error, rating structure and extrapolation","Individual gauges","Seven-method intercomparison","Differences among uncertainty methods were especially material at high flows and beyond measured gaugings; no method was universally best.","Methods may omit changing geometry, hysteresis or other station-specific errors.","Uncertainty plots; recommendations","10.1029/2018WR022708","verified_publisher_and_crossref"
"Q23","What long-record public-weather products can supply hourly temperature, humidity and pressure, and what are their measurement limitations?","weather reanalysis","MunozSabaterEtAl2021","data_or_measurement","Global","Evaluation mainly 2000–2018; product extends from 1950","Hourly land and near-surface state","ERA5 forcing, land-model fields and reference observations","Regular grid at approximately 9 km","Offline land reanalysis and multi-source evaluation","ERA5-Land provides a temporally consistent hourly fixed grid and finer land-surface resolution than ERA5.","It is model-based, inherits/interpolates ERA5 forcing and does not resolve small-scale heterogeneity; the paper is not a local Limburg validation.","Abstract; §§2–4 and 6","10.5194/essd-13-4349-2021","verified_publisher_and_crossref"
"Q23","What long-record public-weather products can supply hourly temperature, humidity and pressure, and what are their measurement limitations?","weather reanalysis","CopernicusERA5Land2019","data_or_measurement","Global","1950 to near-present; requested chapter extract 2001–2025","Hourly gridded weather fields","2 m temperature, 2 m dew point and surface pressure","Regular 0.1° latitude-longitude grid","ERA5-driven offline land reanalysis","The product supplies consistent hourly fields across borders and periods and supports fixed geographic NetCDF extracts.","Values are model estimates rather than direct station observations; uncertainty and 0.1° spatial support must remain explicit.","Official overview; variables; coverage; DOI record","10.24381/cds.e2161bac","verified_official_record"
"Q23","What long-record public-weather products can supply hourly temperature, humidity and pressure, and what are their measurement limitations?","weather observations","KNMIHourly2026","data_or_measurement","Netherlands; retained Limburg stations Maastricht, Ell and Arcen","2001–2025 retained","Validated hourly station observations","Temperature, relative humidity and available mean-sea-level pressure","Individual meteorological stations","Quality-controlled climatological archive","The station files provide long observed temperature and humidity records including July 2021, with explicit UTC and unit definitions.","Station moves and observing changes can create inhomogeneity; pressure availability differs by station and the archive can differ from unvalidated feeds.","Archive description; station rows 377, 380 and 391","https://www.knmi.nl/nederland-nu/klimatologie/uurgegevens","verified_official_record"
